path,text
data_conv/T001-F0001.wav,Мне нужна вода
data_conv/T001-F0002.wav,Где мои лекарства
data_conv/T001-F0003.wav,Помогите мне пожалуйста
data_conv/T001-F0004.wav,Я плохо себя чувствую
data_conv/T002-F0001.wav,Включите свет
data_conv/T002-F0002.wav,Выключите телевизор
data_conv/T002-F0003.wav,Я хочу спать
data_conv/T002-F0004.wav,Откройте окно
data_conv/T002-F0005.wav,Закройте дверь
data_conv/T002-F0006.wav,Можно громче
data_conv/T002-F0007.wav,Мне жарко
data_conv/T002-F0008.wav,Где мой телефон?
data_conv/T002-F0009.wav,Принесите одеяло
data_conv/T004-F0001.wav,Повторите пожалуйста
data_conv/T004-F0002.wav,Я вас не понимаю
data_conv/T004-F0003.wav,Напишите это
data_conv/T004-F0004.wav,Можно медленнее?
data_conv/T004-F0005.wav,Спасибо
data_conv/T004-F0006.wav,Извините
data_conv/T004-F0007.wav,Я согласен
data_conv/T004-F0008.wav,Я не согласен
data_conv/T004-F0009.wav,Подождите минуту
data_conv/T005-F0001.wav,Срочно помогите!
data_conv/T005-F0002.wav,Вызовите скорую!
data_conv/T005-F0003.wav,Я задыхаюсь!
data_conv/T005-F0004.wav,У меня аллергия!
data_conv/T006-F0001.wav,Включите вентилятор
data_conv/T006-F0002.wav,Поставьте чайник
data_conv/T006-F0003.wav,Как работает этот пульт?
data_conv/T006-F0004.wav,Где зарядка?
data_conv/T007-F0001.wav,Я хочу чай
data_conv/T007-F0002.wav,Принесите суп
data_conv/T007-F0003.wav,Можно кофе?
data_conv/T007-F0004.wav,Нет я не голоден
data_conv/T008-F0001.wav,Сегодня я проснулся раньше обычного. За окном было тихо
data_conv/T008-F0002.wav,Я пошёл на кухню и включил чайник. Окно было слегка приоткрыто
data_conv/T008-F0003.wav,В комнату заглянул солнечный луч. Он лёг на стол
data_conv/T008-F0004.wav,Я сел завтракать и подумал о планах на день
data_conv/T008-F0006.wav,На улице слышались шаги прохожих. Кто-то говорил по телефону
data_conv/T008-F0007.wav,Я открыл почту на телефоне. Несколько писем требовали ответа
data_conv/T008-F0008.wav,"Сосед сверху снова что-то сверлил. Я сделал вид, что не слышу"
data_conv/T008-F0009.wav,"Подумал, не выйти ли на прогулку. Погода располагала"
data_conv/T008-F0010.wav,Надел куртку и закрыл дверь. Солнце слегка слепило глаза
data_conv/T008-F0011.wav,Во дворе стоял запах свежей травы. Кто-то косил газон у соседнего дома
data_conv/T008-F0012.wav,Возле подъезда сидела бабушка с газетой. Она кивнула мне в ответ на приветствие
data_conv/T008-F0013.wav,Я решил пройтись до магазина. По пути заметил новую кофейню
data_conv/T008-F0014.wav,Из окна кофейни доносился запах корицы и ванили. Люди сидели у столиков с ноутбуками
data_conv/T008-F0015.wav,"В витрине магазина появились яркие овощи — перец, редис, зелень. Всё выглядело очень свежим"
data_conv/T008-F0016.wav,Я взял корзинку и прошёл мимо полки с макаронами. В голове прокручивался рецепт запеканки
data_conv/T008-F0017.wav,Рядом кто-то чихнул в платок. Я машинально сделал шаг в сторону
data_conv/T008-F0018.wav,На кассе передо мной стояла молодая мама с ребёнком. Девочка держала плюшевого бегемота
data_conv/T008-F0019.wav,Кассир быстро пробивал покупки. Аппарат пикал с ритмичной точностью
data_conv/T008-F0020.wav,"Я упаковал покупки в сумку и направился обратно. Небо потемнело — похоже, будет дождь"
data_conv/T008-F0021.wav,"Сегодня утром заметил, что воробьи строят гнездо прямо под крышей балкона. Сидел, пил кофе и наблюдал за ними минут десять"
data_conv/T008-F0022.wav,"Сломалась пуговица на любимой рубашке. Вспомнил, как бабушка учила пришивать аккуратно и на узелок"
data_conv/T008-F0023.wav,"На кассе в магазине передо мной парень купил только лапшу и энергетик. Почему-то это вызвало у меня лёгкую грусть"
data_conv/T008-F0024.wav,"Мама прислала фото пирога с подписью: жаль, не передать запах. И правда — я чуть не поехал к ней сразу"
data_conv/T008-F0025.wav,"На прогулке услышал, как кто-то играл на гитаре во дворе. Это была старая песня cолнышко в руках — даже мурашки пошли"
